Ligand_name,Status,Is_active,Best_affinity_kcal_mol,Label,Formula,MW_Da,LogP,HBD,HBA,RotB,TPSA_A2,Runtime_s
CHEMBL5839176,SUCCESS,1,-6.575,active,C30H29FN7O2+,538.236,3.203,3.0,8.0,8.0,126.89,115.79
CHEMBL6007497,SUCCESS,1,-6.648,active,C29H29F3N5O2+,536.227,4.561,2.0,6.0,5.0,87.98,63.41
CHEMBL6000629,SUCCESS,1,-6.256,active,C28H27ClFN8O+,545.197,3.41,2.0,7.0,7.0,111.59,113.15
CHEMBL6062553,SUCCESS,1,-6.485,active,C30H28ClFN7O+,556.202,4.151,2.0,7.0,7.0,106.66,124.18
CHEMBL5917657,SUCCESS,1,-6.925,active,C29H31FN5O2+,500.246,4.173,2.0,6.0,6.0,87.98,55.43
CHEMBL5408369,SUCCESS,1,-6.009,active,C32H31F6N7OS+2,675.22,3.715,3.0,7.0,6.0,109.11,177.18
CHEMBL5405632,SUCCESS,1,-5.575,active,C32H33ClF3N7OS+2,655.21,3.597,3.0,7.0,8.0,109.11,185.94
CHEMBL5753548,SUCCESS,1,-5.646,active,C29H27ClF2N7O2+,578.188,3.268,2.0,7.0,8.0,105.8,112.21
CHEMBL5982513,SUCCESS,1,-6.273,active,C27H26F4N5O2+,528.202,4.325,2.0,6.0,7.0,87.98,74.45
CHEMBL5765688,SUCCESS,1,-6.638,active,C26H23ClF4N5O2+,548.147,4.589,2.0,6.0,6.0,87.98,75.57
CHEMBL5948435,SUCCESS,1,-6.867,active,C30H30F4N5O2+,568.233,5.106,2.0,6.0,6.0,87.98,93.71
CHEMBL5977925,SUCCESS,1,-8.725,active,C32H30ClFN5O2+,570.207,5.159,2.0,6.0,8.0,97.63,144.09
CHEMBL6025772,SUCCESS,1,-6.232,active,C29H27ClF2N7O2+,578.188,3.268,2.0,7.0,8.0,105.8,115.06
CHEMBL5941312,SUCCESS,1,-6.259,active,C29H26ClF3N7O2+,596.178,3.736,2.0,7.0,8.0,105.8,119.11
CHEMBL5877093,SUCCESS,1,-6.401,active,C31H34F2N6O2+2,560.27,2.142,3.0,6.0,6.0,92.42,84.8
CHEMBL5885339,SUCCESS,1,-6.91,active,C29H26FN6O2+,509.21,3.578,2.0,7.0,6.0,100.87,64.41
CHEMBL5906561,SUCCESS,1,-6.396,active,C29H33FN6O3+2,532.259,0.898,3.0,7.0,7.0,101.65,80.8
CHEMBL5853896,SUCCESS,1,-5.859,active,C29H28ClFN7O2+,560.197,3.32,2.0,7.0,8.0,105.8,127.08
CHEMBL4075783,FAILED: Bad Conformer Id,0,,,,,,,,,,
CHEMBL5826223,SUCCESS,1,-6.417,active,C29H26FN6O2+,509.21,3.578,2.0,7.0,6.0,100.87,66.11
CHEMBL5748258,SUCCESS,1,-8.26,active,C30H35FN6O3+2,546.274,1.288,3.0,7.0,8.0,101.65,88.41
CHEMBL4857438,SUCCESS,1,-9.088,active,C31H33ClF2N6O2+2,594.231,2.796,3.0,6.0,6.0,92.42,82.75
CHEMBL5793869,SUCCESS,1,-6.241,active,C30H28FN6O2+,523.225,3.621,2.0,7.0,7.0,100.87,86.68
CHEMBL5756311,SUCCESS,1,-6.681,active,C30H27F2N6O2+,541.216,3.76,2.0,7.0,7.0,100.87,88.49
CHEMBL5976367,SUCCESS,1,-6.368,active,C31H33ClF2N6O2+2,594.231,2.796,3.0,6.0,6.0,92.42,100.25
CHEMBL5838288,SUCCESS,1,-6.583,active,C29H25ClF4N7O2+,614.169,3.817,2.0,7.0,7.0,105.8,135.3
CHEMBL4857719,SUCCESS,1,-6.885,active,C31H33ClF2N6O2+2,594.231,2.987,3.0,6.0,6.0,92.42,105.65
CHEMBL5170279,SUCCESS,1,-9.453,active,C31H34F2N6O2+2,560.27,2.142,3.0,6.0,6.0,92.42,85.65
CHEMBL5896075,SUCCESS,0,-5.73,decoy,C25H21FN5+,410.178,2.88,1.0,4.0,2.0,58.52,26.44
CHEMBL4084139,FAILED: Bad Conformer Id,0,,,,,,,,,,
CHEMBL6042242,SUCCESS,1,-5.847,active,C31H34F2N6O2+2,560.27,2.142,3.0,6.0,6.0,92.42,92.06
CHEMBL4074790,FAILED: Bad Conformer Id,0,,,,,,,,,,
CHEMBL5793644,SUCCESS,1,-6.09,active,C32H35ClF2N6O2+2,608.247,3.186,3.0,6.0,7.0,92.42,124.24
CHEMBL4788500,SUCCESS,1,-5.782,active,C33H29N4O2+,513.229,4.973,4.0,2.0,8.0,86.66,186.27
CHEMBL5856093,SUCCESS,1,-6.812,active,C31H33F3N6O2+2,578.261,2.281,3.0,6.0,6.0,92.42,105.39
CHEMBL4874297,SUCCESS,1,-6.272,active,C31H32F4N6O2+2,596.251,2.42,3.0,6.0,6.0,92.42,110.77
CHEMBL5999313,SUCCESS,1,-5.027,active,C39H43ClFN7O5+2,743.299,3.235,4.0,9.0,13.0,139.98,484.31
CHEMBL5878920,SUCCESS,0,-5.902,decoy,C23H21N5O2S,431.142,3.316,1.0,6.0,4.0,77.9,39.19
CHEMBL5774607,SUCCESS,0,-5.109,decoy,C17H15N5OS,337.1,3.157,1.0,5.0,5.0,72.17,19.31
CHEMBL5762821,SUCCESS,1,-6.171,active,C27H31F3N6O2+2,528.245,1.128,3.0,6.0,6.0,92.42,79.53
