smiles,molecule_chembl_id,pIC50
Fc1c(-c2cccc(C(F)(F)F)c2C(F)(F)F)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc12,CHEMBL5781677,7.000434511774017
Fc1c(-c2cccc(Cl)c2C(F)(F)F)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc12,CHEMBL6027140,7.037039851678104
Fc1c(-c2cccc3c2C(C2CC2)CC3)ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc12,CHEMBL5889230,6.630784142589857
Fc1c(-c2cccc3c2CC2CC32)ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc12,CHEMBL4872788,7.696803942579511
Fc1c(-c2cccc3c2CCC3)ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc12,CHEMBL5925566,6.096440803678929
Fc1c(-c2cccc3c2OC(F)(F)O3)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc12,CHEMBL6052717,6.330683119433887
Fc1c(-c2cccc3cccc(-c4c[nH]nn4)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc12,CHEMBL5887792,7.118615343229427
Fc1c(-c2cccc3cccc(C(F)(F)F)c23)ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc12,CHEMBL5962849,6.424931377940212
Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CC(F)CN3CC(F)C4)nc12,CHEMBL5742538,6.155637605511785
Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCCN3CCC4)nc12,CHEMBL5751574,7.16304326294045
Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CC(F)(F)C4)nc12,CHEMBL5893982,6.978810700930062
Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCOC4)nc12,CHEMBL5820584,6.638272163982407
Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@H]3CC(F)(F)CN3)nc12,CHEMBL6018222,6.073143291050307
Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@H]3CCCN3Cc3ccccc3)nc12,CHEMBL5748017,6.029653123769906
Fc1c(-c2cccc3cccc(Cl)c23)ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C(CCl)CC4)nc12,CHEMBL6037946,6.26440110030182
