molecule_chembl_id,smiles,matched_to_active,tanimoto_similarity
CHEMBL286319,Nc1cnc(-c2ccc(F)cc2)n(CC(=O)NC(Cc2ccccc2)C(=O)c2nc3cc(-c4ccccc4)ccc3o2)c1=O,CHEMBL4858364,0.103
CHEMBL26441,COC(=O)c1c(C(=O)N2CCN(CCO)CC2)cc2ccc(Cl)cc2c1-c1cc(Br)c(OC)c(OC)c1,CHEMBL4858364,0.122
CHEMBL24752,COC(=O)c1c(C(=O)N2CCN(CCO)CC2)cc2c(Cl)cccc2c1-c1cc(Br)c(OC)c(OC)c1,CHEMBL4858364,0.105
CHEMBL25767,CCCCc1nc2ccc(NS(=O)(=O)C(F)(F)F)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CHEMBL4858364,0.092
CHEMBL286026,CC(=O)NC1N=C(c2ccccc2)c2ccccc2N(CC(=O)NCc2nc(-c3ccc(Cl)c(Cl)c3)cs2)C1=O,CHEMBL4858364,0.086
CHEMBL284103,CNC(=O)C1=C(C)NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1,CHEMBL4858364,0.092
CHEMBL279436,CC1=C(C(N)=O)C(c2ccc([N+](=O)[O-])cc2)C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)=C(C)N1,CHEMBL4858364,0.092
CHEMBL24512,CCCCc1nc(Cl)c(CC(=O)OC)n1Cc1ccc(NC(=O)c2ccccc2NS(=O)(=O)C(F)(F)F)cc1,CHEMBL4858364,0.095
CHEMBL282307,CCCCc1nc(Cl)c(CC(=O)OC)n1Cc1ccc(NC(=O)C2CCCCC2NS(=O)(=O)C(F)(F)F)cc1,CHEMBL4858364,0.126
CHEMBL28044,CCCCc1nc(Cl)c(CC(=O)OC)n1Cc1ccccc1NC(=O)c1ccccc1NS(=O)(=O)C(F)(F)F,CHEMBL4858364,0.096
CHEMBL283431,CCCCc1nc(Cl)c(CC(=O)OC)n1Cc1ccc(NC(=O)c2ccc(NS(=O)(=O)C(F)(F)F)cc2)cc1,CHEMBL4858364,0.09
