Ligand_name,Label,Is_active,Status,Converged,Formula,MW_Da,LogP,HBD,HBA,RotB,TPSA_A2,Best_affinity_kcal_mol,best_rmsd_lb,best_rmsd_ub,RF_Score_pKd,Runtime_s
CHEMBL104599,decoy,0,SUCCESS,True,C27H32N2O5S2,528.175,6.163,2,7,16,99.43,-6.539,-11.89,-1.612,7.127,461.56
CHEMBL105243,decoy,0,SUCCESS,True,C25H19F10NO5,603.11,5.702,2,5,12,85.86,-5.128,-9.025,-0.826,6.158,300.03
CHEMBL104709,decoy,0,SUCCESS,True,C27H37ClN6O3S+2,560.233,0.987,4,8,16,114.39,-6.259,-10.467,-0.737,7.806,451.21
CHEMBL10589,decoy,0,SUCCESS,True,C27H24O8,476.147,3.84,1,8,11,92.68,-2.716,-3.907,-1.991,6.406,218.17
CHEMBL105326,decoy,0,SUCCESS,True,C23H39Cl2N3O4P+,522.205,3.831,1,4,14,67.85,-4.283,-7.037,0.181,6.899,334.87
CHEMBL104289,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL103695,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL104076,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL105953,decoy,0,SUCCESS,True,C32H52O6,532.376,5.365,3,6,18,104.06,-4.057,-6.073,-1.25,7.126,255.23
CHEMBL105220,decoy,0,SUCCESS,True,C28H30BrN6O3S+,609.128,4.19,2,8,12,98.66,-4.61,-7.575,-2.124,6.732,433.8
CHEMBL106098,decoy,0,SUCCESS,True,C27H36BrN4O3+,543.197,3.04,1,4,9,73.28,-4.269,-5.517,-1.229,6.693,199.43
CHEMBL106386,decoy,0,SUCCESS,True,C24H24BrN7O,505.123,4.499,1,8,7,102.94,-3.514,-4.541,-1.227,7.332,110.31
CHEMBL10492,decoy,0,SUCCESS,True,C28H35N3O7S,557.22,0.288,2,7,9,129.51,-5.441,-9.258,-1.694,7.173,540.04
CHEMBL10636,decoy,0,SUCCESS,True,C26H22O6S,462.114,4.544,1,7,9,74.22,-3.391,-4.679,-2.692,6.034,160.61
CHEMBL104950,decoy,0,SUCCESS,True,C34H40N2O6,572.289,5.703,2,6,11,105.17,-4.073,-6.573,0.186,7.515,526.67
CHEMBL105592,decoy,0,SUCCESS,True,C32H32N5O3+,534.25,3.301,1,4,7,65.96,13.335,18.013,0.176,6.684,411.07
CHEMBL10635,decoy,0,SUCCESS,True,C27H22O8,474.131,3.594,1,8,7,92.68,11.521,15.225,-2.544,5.963,173.46
CHEMBL104396,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL10440,,,FAILED: Timeout,,,,,,,,,,,,,
CHEMBL104978,decoy,0,SUCCESS,True,C31H36ClN5O4,577.246,5.512,1,7,16,107.7,-5.555,-9.127,-0.623,7.148,549.2
CHEMBL106442,decoy,0,SUCCESS,True,C21H16Cl2N4O6P2-2,551.993,2.811,2,9,8,158.61,-7.324,-9.679,-1.547,7.688,146.77
CHEMBL105887,decoy,0,SUCCESS,True,C25H24BrF3N4O4S,612.065,5.989,2,5,11,106.23,-5.536,-8.449,-2.69,7.62,345.89
